prefilter,call_rate,delete_rate,detector_calls,detector_call_savings,candidate_precision,candidate_hallucination_coverage,full_tdev_deleted,full_tdev_deleted_hallucinated,full_tdev_deleted_grounded,cascade_deleted,cascade_deleted_hallucinated,cascade_deleted_grounded,retained_full_deletions,retained_full_hallucination_reduction,retained_full_grounded_loss,hallucination_reduction,grounded_loss,cascade_precision
lh_shape_linear_layers_22_31,0.1,0.05,1643,0.8999756483623523,0.7261107729762629,0.29758044400099776,822,684,138,253,241,12,0.3077858880778589,0.35233918128654973,0.08695652173913043,0.060114741830880516,0.0009664170089393573,0.9525691699604744
lh_shape_linear_layers_22_31,0.1,0.1,1643,0.8999756483623523,0.7261107729762629,0.29758044400099776,1643,1302,341,470,444,26,0.2860620815581254,0.34101382488479265,0.07624633431085044,0.11075081067597904,0.0020939035193686074,0.9446808510638298
lh_shape_linear_layers_22_31,0.25,0.05,4107,0.7499695604529404,0.6235695154614074,0.6388126714891494,822,684,138,510,483,27,0.6204379562043796,0.706140350877193,0.1956521739130435,0.12047892242454478,0.002174438270113554,0.9470588235294117
lh_shape_linear_layers_22_31,0.25,0.1,4107,0.7499695604529404,0.6235695154614074,0.6388126714891494,1643,1302,341,926,855,71,0.563603164942179,0.6566820276497696,0.20821114369501467,0.2132701421800948,0.005717967302891197,0.9233261339092873
lh_shape_linear_layers_22_31,0.5,0.05,8213,0.5,0.4503835382929502,0.9226739835370417,822,684,138,711,639,72,0.864963503649635,0.9342105263157895,0.5217391304347826,0.1593913694188077,0.005798502053636144,0.8987341772151899
lh_shape_linear_layers_22_31,0.5,0.1,8213,0.5,0.4503835382929502,0.9226739835370417,1643,1302,341,1366,1190,176,0.8314059646987219,0.9139784946236559,0.5161290322580645,0.29683212771264655,0.014174116131110574,0.8711566617862372
lh_shape_linear_layers_22_31,0.75,0.05,12320,0.2499695604529405,0.3222402597402597,0.9902718882514343,822,684,138,794,681,113,0.9659367396593674,0.9956140350877193,0.8188405797101449,0.1698677974557246,0.009100426834178948,0.8576826196473551
lh_shape_linear_layers_22_31,0.75,0.1,12320,0.2499695604529405,0.3222402597402597,0.9902718882514343,1643,1302,341,1567,1289,278,0.9537431527693244,0.9900153609831029,0.8152492668621701,0.32152656522823647,0.022388660707095113,0.822590938098277
position_only_gen_pos,0.1,0.05,1643,0.8999756483623523,0.5982958003651856,0.24519830381641308,822,684,138,213,202,11,0.2591240875912409,0.2953216374269006,0.07971014492753623,0.05038663008231479,0.0008858822581944109,0.9483568075117371
position_only_gen_pos,0.1,0.1,1643,0.8999756483623523,0.5982958003651856,0.24519830381641308,1643,1302,341,357,331,26,0.2172854534388314,0.2542242703533026,0.07624633431085044,0.08256423048141681,0.0020939035193686074,0.927170868347339
position_only_gen_pos,0.25,0.05,4107,0.7499695604529404,0.5522279035792549,0.5657271139935146,822,684,138,455,429,26,0.5535279805352799,0.6271929824561403,0.18840579710144928,0.107009229234223,0.0020939035193686074,0.9428571428571428
position_only_gen_pos,0.25,0.1,4107,0.7499695604529404,0.5522279035792549,0.5657271139935146,1643,1302,341,799,736,63,0.48630553864881315,0.565284178187404,0.18475073313782991,0.18358692940883012,0.005073689296931626,0.9211514392991239
position_only_gen_pos,0.5,0.05,8213,0.5,0.44100815779861197,0.903467198802694,822,684,138,713,649,64,0.8673965936739659,0.9488304093567251,0.463768115942029,0.16188575704664504,0.0051542240476765725,0.9102384291725105
position_only_gen_pos,0.5,0.1,8213,0.5,0.44100815779861197,0.903467198802694,1643,1302,341,1333,1180,153,0.8113207547169812,0.9062980030721967,0.44868035190615835,0.2943377400848092,0.012321816863976806,0.8852213053263316
position_only_gen_pos,0.75,0.05,12320,0.2499695604529405,0.3184253246753247,0.9785482664005987,822,684,138,787,676,111,0.9574209245742092,0.9883040935672515,0.8043478260869565,0.16862060364180595,0.008939357332689055,0.8589580686149937
position_only_gen_pos,0.75,0.1,12320,0.2499695604529405,0.3184253246753247,0.9785482664005987,1643,1302,341,1536,1276,260,0.9348752282410225,0.9800307219662059,0.7624633431085044,0.3182838613120479,0.020939035193686076,0.8307291666666666
ic_hallu_score,0.1,0.05,1643,0.8999756483623523,0.664637857577602,0.27238712895984035,822,684,138,292,278,14,0.35523114355231145,0.4064327485380117,0.10144927536231885,0.06934397605387878,0.0011274865104292503,0.952054794520548
ic_hallu_score,0.1,0.1,1643,0.8999756483623523,0.664637857577602,0.27238712895984035,1643,1302,341,540,511,29,0.3286670724284845,0.3924731182795699,0.08504398826979472,0.1274632077824894,0.002335507771603447,0.9462962962962963
ic_hallu_score,0.25,0.05,4107,0.7499695604529404,0.5125395665936207,0.5250685956597655,822,684,138,498,458,40,0.6058394160583942,0.6695906432748538,0.2898550724637681,0.11424295335495135,0.003221390029797858,0.9196787148594378
ic_hallu_score,0.25,0.1,4107,0.7499695604529404,0.5125395665936207,0.5250685956597655,1643,1302,341,913,825,88,0.5556908094948265,0.6336405529953917,0.25806451612903225,0.20578697929658268,0.007087058065555287,0.9036144578313253
ic_hallu_score,0.5,0.05,8213,0.5,0.3903567514915378,0.7997006734846596,822,684,138,662,593,69,0.805352798053528,0.8669590643274854,0.5,0.1479171863307558,0.005556897801401305,0.8957703927492447
ic_hallu_score,0.5,0.1,8213,0.5,0.3903567514915378,0.7997006734846596,1643,1302,341,1283,1109,174,0.7808886183810103,0.8517665130568356,0.5102639296187683,0.27662758792716385,0.014013046629620681,0.8643803585346843
ic_hallu_score,0.75,0.05,12320,0.2499695604529405,0.3073051948051948,0.9443751558992267,822,684,138,763,662,101,0.9282238442822385,0.9678362573099415,0.7318840579710145,0.16512846096283362,0.008134009825239591,0.8676277850589778
ic_hallu_score,0.75,0.1,12320,0.2499695604529405,0.3073051948051948,0.9443751558992267,1643,1302,341,1516,1256,260,0.9227023737066342,0.9646697388632872,0.7624633431085044,0.3132950860563732,0.020939035193686076,0.8284960422163589
entropy_hallu_score,0.1,0.05,1643,0.8999756483623523,0.5800365185636032,0.23771514093290097,822,684,138,204,193,11,0.24817518248175183,0.2821637426900585,0.07971014492753623,0.04814168121726116,0.0008858822581944109,0.946078431372549
entropy_hallu_score,0.1,0.1,1643,0.8999756483623523,0.5800365185636032,0.23771514093290097,1643,1302,341,382,356,26,0.2325015216068168,0.27342549923195086,0.07624633431085044,0.08880019955101023,0.0020939035193686074,0.9319371727748691
entropy_hallu_score,0.25,0.05,4107,0.7499695604529404,0.4823472120769418,0.4941381890745822,822,684,138,393,358,35,0.4781021897810219,0.5233918128654971,0.2536231884057971,0.08929907707657771,0.0028187162760731255,0.910941475826972
entropy_hallu_score,0.25,0.1,4107,0.7499695604529404,0.4823472120769418,0.4941381890745822,1643,1302,341,746,662,84,0.4540474741326841,0.5084485407066052,0.24633431085043989,0.16512846096283362,0.0067649190625755015,0.8873994638069705
entropy_hallu_score,0.5,0.05,8213,0.5,0.3645440155850481,0.7468196557745074,822,684,138,597,532,65,0.7262773722627737,0.7777777777777778,0.47101449275362317,0.13270142180094788,0.005234758798421519,0.8911222780569514
entropy_hallu_score,0.5,0.1,8213,0.5,0.3645440155850481,0.7468196557745074,1643,1302,341,1165,997,168,0.7090687766281193,0.7657450076804916,0.49266862170087977,0.24869044649538538,0.013529838125151003,0.855793991416309
entropy_hallu_score,0.75,0.05,12320,0.2499695604529405,0.29131493506493505,0.8952357196308306,822,684,138,706,608,98,0.8588807785888077,0.8888888888888888,0.7101449275362319,0.15165876777251186,0.007892405573004751,0.8611898016997167
entropy_hallu_score,0.75,0.1,12320,0.2499695604529405,0.29131493506493505,0.8952357196308306,1643,1302,341,1407,1153,254,0.8563603164942178,0.8855606758832565,0.7448680351906158,0.2876028934896483,0.020455826689216396,0.8194740582800284
pas_layer0_hallu_score,0.1,0.05,1643,0.8999756483623523,0.6214242239805234,0.2546769768021951,822,684,138,243,231,12,0.2956204379562044,0.33771929824561403,0.08695652173913043,0.05762035420304315,0.0009664170089393573,0.9506172839506173
pas_layer0_hallu_score,0.1,0.1,1643,0.8999756483623523,0.6214242239805234,0.2546769768021951,1643,1302,341,392,362,30,0.23858794887401097,0.2780337941628264,0.08797653958944282,0.09029683212771265,0.0024160425223483935,0.923469387755102
pas_layer0_hallu_score,0.25,0.05,4107,0.7499695604529404,0.5612369125882639,0.5749563482165129,822,684,138,466,443,23,0.5669099756690997,0.6476608187134503,0.16666666666666666,0.11050137191319531,0.0018522992671337682,0.9506437768240343
pas_layer0_hallu_score,0.25,0.1,4107,0.7499695604529404,0.5612369125882639,0.5749563482165129,1643,1302,341,802,743,59,0.4881314668289714,0.5706605222734255,0.17302052785923755,0.1853330007483163,0.0047515502939518405,0.92643391521197
pas_layer0_hallu_score,0.5,0.05,8213,0.5,0.44100815779861197,0.903467198802694,822,684,138,712,645,67,0.8661800486618005,0.9429824561403509,0.4855072463768116,0.1608880019955101,0.005395828299911412,0.9058988764044944
pas_layer0_hallu_score,0.5,0.1,8213,0.5,0.44100815779861197,0.903467198802694,1643,1302,341,1331,1175,156,0.8101034692635423,0.9024577572964669,0.4574780058651026,0.2930905462708905,0.012563421116211646,0.8827948910593538
pas_layer0_hallu_score,0.75,0.05,12320,0.2499695604529405,0.319724025974026,0.9825392866051385,822,684,138,785,677,108,0.9549878345498783,0.9897660818713451,0.782608695652174,0.16887004240458967,0.008697753080454215,0.8624203821656051
pas_layer0_hallu_score,0.75,0.1,12320,0.2499695604529405,0.319724025974026,0.9825392866051385,1643,1302,341,1529,1274,255,0.9306147291539866,0.978494623655914,0.7478005865102639,0.3177849837864804,0.020536361439961345,0.8332243296272073
sinkdetect_best_within_bin_hallu_score,0.1,0.05,1643,0.8999756483623523,0.21119902617163724,0.0865552506859566,822,684,138,108,75,33,0.13138686131386862,0.10964912280701754,0.2391304347826087,0.018707907208780246,0.0026576467745832327,0.6944444444444444
sinkdetect_best_within_bin_hallu_score,0.1,0.1,1643,0.8999756483623523,0.21119902617163724,0.0865552506859566,1643,1302,341,206,143,63,0.12538040170419965,0.1098310291858679,0.18475073313782991,0.035669743078074335,0.005073689296931626,0.6941747572815534
sinkdetect_best_within_bin_hallu_score,0.25,0.05,4107,0.7499695604529404,0.2220598977355734,0.22748815165876776,822,684,138,217,170,47,0.2639902676399027,0.24853801169590642,0.34057971014492755,0.042404589673235224,0.003785133285012483,0.783410138248848
sinkdetect_best_within_bin_hallu_score,0.25,0.1,4107,0.7499695604529404,0.2220598977355734,0.22748815165876776,1643,1302,341,438,337,101,0.26658551430310407,0.2588325652841782,0.2961876832844575,0.08406086305811923,0.008134009825239591,0.769406392694064
sinkdetect_best_within_bin_hallu_score,0.5,0.05,8213,0.5,0.2236697917934981,0.4582190072337241,822,684,138,398,330,68,0.48418491484184917,0.4824561403508772,0.4927536231884058,0.08231479171863308,0.005476363050656358,0.8291457286432161
sinkdetect_best_within_bin_hallu_score,0.5,0.1,8213,0.5,0.2236697917934981,0.4582190072337241,1643,1302,341,817,656,161,0.4972611077297626,0.5038402457757296,0.47214076246334313,0.16363182838613122,0.012966094869936377,0.802937576499388
