object_id,image_id,word,label,score,selected,gen_pos,near_gen_pos_match,near_match_start,caption_anywhere_match,anywhere_match_start,matched_token_len,matched_tokens,matched_text
45,7320,chair,1,-0.020468269586563115,0,40,0,,1,45,1,11774,chair
96,14635,person,0,-0.046125193238258366,0,11,0,,1,21,1,6114,woman
98,14635,chair,0,-0.20555297017097474,0,22,0,,1,109,1,11774,chair
107,14635,potted plant,1,0.08882462128996849,1,138,1,139,1,139,3,282 15048 8024,potted plant
112,15345,bowl,1,0.04894915491342544,1,51,1,52,1,52,2,12580 29880,bowl
170,26363,chair,0,-0.07674761772155761,0,49,0,,0,,0,,
207,30895,tv,1,0.07252075046300888,1,115,1,116,1,116,1,11456,television
210,31043,dining table,0,0.05435969233512877,1,60,1,59,1,59,3,270 2827 1591,dining table
212,31043,potted plant,1,0.0738450725376606,1,106,1,107,1,107,3,282 15048 8024,potted plant
213,31043,vase,1,0.08754232048988342,1,115,1,116,1,116,2,325 559,vase
215,31043,clock,1,0.0681164813041687,1,153,1,154,1,154,1,12006,clock
216,31043,book,1,0.07588038116693496,1,162,1,163,1,163,1,3143,book
230,33835,tv,0,-0.19182554364204407,0,51,0,,0,,0,,
246,34445,potted plant,0,0.054699743986129756,1,152,1,153,1,153,3,282 15048 8024,potted plant
259,35738,tv,0,-0.5974528908729553,0,54,0,,0,,0,,
260,35738,couch,1,0.0954392597824335,1,62,1,63,1,63,2,274 3222,couch
266,36962,dining table,1,0.1073231491073966,1,18,1,19,1,19,1,1591,table
278,38449,tie,1,0.09336314246058464,1,94,1,95,1,95,1,22134,tie
287,40602,person,0,-0.027930786013603215,0,3,0,,1,32,1,6114,woman
313,43670,sports ball,1,0.05923750147223472,1,48,1,49,1,49,1,8287,ball
320,43961,chair,0,0.05225162476301193,1,86,1,87,1,87,2,521 7121,chairs
323,44294,microwave,1,0.06507460296154022,1,34,1,35,1,35,3,20710 798 1351,microwave
328,44294,vase,1,0.04511609226465224,1,91,1,92,1,92,2,325 559,vase
343,46433,vase,1,0.05859677389264106,1,92,1,93,1,93,2,325 559,vase
345,47204,stop sign,1,0.054003174304962154,1,61,1,62,1,62,2,5040 1804,stop sign
348,47524,sink,1,0.1054473415762186,1,53,1,54,1,54,1,28169,sink
354,48281,dining table,1,0.08544698998332023,1,40,1,41,1,41,1,1591,table
358,48281,tv,1,0.06965609163045883,1,95,1,96,1,96,1,11456,television
401,54133,microwave,1,0.0728493694961071,1,36,1,37,1,37,3,20710 798 1351,microwave
402,54133,toaster,1,0.044173504114151,1,40,1,41,1,41,2,304 1901,toaster
404,54133,dining table,0,0.06322944462299346,1,52,1,51,1,51,3,270 2827 1591,dining table
406,54133,person,1,0.09116009518504142,1,67,1,68,1,68,1,2022,person
428,57238,cup,1,0.11095444288104772,1,95,1,96,1,96,1,18002,cup
429,57238,bowl,1,0.10680572398006916,1,106,1,107,1,107,2,12580 29880,bowl
430,57238,sink,1,0.08363066136837005,1,123,1,124,1,124,1,28169,sink
437,58816,tv,1,-0.06110783576965332,0,46,0,,0,,0,,
459,63521,chair,1,0.054422113001346584,1,110,1,111,1,111,1,11774,chair
460,63521,clock,1,0.108461684435606,1,118,1,119,1,119,1,12006,clock
463,64523,person,0,-0.09928918540477752,0,5,0,,0,,0,,
482,67463,truck,0,-0.4078444290161133,0,7,0,,1,26,2,534 2707,truck
485,67953,person,0,-0.24916674852371215,0,3,0,,0,,0,,
501,72000,person,0,-0.08856057107448578,0,6,0,,1,71,1,2022,person
542,76138,dining table,1,0.05343802541494369,1,51,1,50,1,50,3,270 2827 1591,dining table
