method,score,selection_rate,selected_rows,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,mcc,tpr,fpr,tnr,precision,f1,yes_rate
vanilla_base,anchor,0.0,0,0,1.0,macro,all,9000,3658,391,4109,842,0.863,0.729673851023138,0.8128888888888889,0.08688888888888889,0.9131111111111111,0.9034329464065202,0.855772604983039,0.4498888888888889
vanilla_base,anchor,0.0,0,0,1.0,macro,negative_related_present,3092,0,352,2740,0,0.8861578266494179,0.0,0.0,0.11384217335058215,0.8861578266494179,0.0,0.0,0.11384217335058215
vanilla_base,anchor,0.0,0,0,1.0,random,all,3000,1220,55,1445,280,0.8883333333333333,0.7855544321322164,0.8133333333333334,0.03666666666666667,0.9633333333333334,0.9568627450980393,0.8792792792792793,0.425
vanilla_base,anchor,0.0,0,0,1.0,random,negative_related_present,840,0,46,794,0,0.9452380952380952,0.0,0.0,0.05476190476190476,0.9452380952380952,0.0,0.0,0.05476190476190476
vanilla_base,anchor,0.0,0,0,1.0,popular,all,3000,1220,116,1384,280,0.868,0.7404388256548138,0.8133333333333334,0.07733333333333334,0.9226666666666666,0.9131736526946108,0.8603667136812412,0.44533333333333336
vanilla_base,anchor,0.0,0,0,1.0,popular,negative_related_present,980,0,98,882,0,0.9,0.0,0.0,0.1,0.9,0.0,0.0,0.1
vanilla_base,anchor,0.0,0,0,1.0,adversarial,all,3000,1218,220,1280,282,0.8326666666666667,0.6659024051264104,0.812,0.14666666666666667,0.8533333333333334,0.847009735744089,0.829135466303608,0.47933333333333333
vanilla_base,anchor,0.0,0,0,1.0,adversarial,negative_related_present,1272,0,208,1064,0,0.8364779874213837,0.0,0.0,0.16352201257861634,0.8364779874213837,0.0,0.0,0.16352201257861634
full_tdev,anchor,1.0,9000,9000,0.0,macro,all,9000,3629,231,4269,871,0.8775555555555555,0.7628658302177469,0.8064444444444444,0.051333333333333335,0.9486666666666667,0.9401554404145078,0.8681818181818183,0.4288888888888889
full_tdev,anchor,1.0,9000,9000,0.0,macro,negative_related_present,3092,0,214,2878,0,0.9307891332470892,0.0,0.0,0.06921086675291074,0.9307891332470892,0.0,0.0,0.06921086675291074
full_tdev,anchor,1.0,9000,9000,0.0,random,all,3000,1210,29,1471,290,0.8936666666666667,0.7995296362896048,0.8066666666666666,0.019333333333333334,0.9806666666666667,0.976594027441485,0.8835341365461847,0.413
full_tdev,anchor,1.0,9000,9000,0.0,random,negative_related_present,840,0,25,815,0,0.9702380952380952,0.0,0.0,0.02976190476190476,0.9702380952380952,0.0,0.0,0.02976190476190476
full_tdev,anchor,1.0,9000,9000,0.0,popular,all,3000,1210,63,1437,290,0.8823333333333333,0.7735761066657176,0.8066666666666666,0.042,0.958,0.950510604870385,0.8727010457987739,0.42433333333333334
full_tdev,anchor,1.0,9000,9000,0.0,popular,negative_related_present,980,0,56,924,0,0.9428571428571428,0.0,0.0,0.05714285714285714,0.9428571428571428,0.0,0.0,0.05714285714285714
full_tdev,anchor,1.0,9000,9000,0.0,adversarial,all,3000,1209,139,1361,291,0.8566666666666667,0.717024194183559,0.806,0.09266666666666666,0.9073333333333333,0.8968842729970327,0.8490168539325843,0.4493333333333333
full_tdev,anchor,1.0,9000,9000,0.0,adversarial,negative_related_present,1272,0,133,1139,0,0.8954402515723271,0.0,0.0,0.10455974842767296,0.8954402515723271,0.0,0.0,0.10455974842767296
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,macro,all,9000,3656,369,4131,844,0.8652222222222222,0.7345480652766225,0.8124444444444444,0.082,0.918,0.9083229813664596,0.8577126099706744,0.44722222222222224
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,macro,negative_related_present,3092,0,333,2759,0,0.8923027166882277,0.0,0.0,0.10769728331177232,0.8923027166882277,0.0,0.0,0.10769728331177232
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,random,all,3000,1219,49,1451,281,0.89,0.7895002850241306,0.8126666666666666,0.03266666666666666,0.9673333333333334,0.9613564668769716,0.8807803468208093,0.4226666666666667
