score,split,subset,samples,absent,present,tp_absent,fp_present,tn_present,fn_absent,absent_tpr,present_fpr,balanced_accuracy,precision_absent,mcc,predicted_absent_rate,auroc
lh_shape_pope_layers_31,random,all,120,60,60,40,28,32,20,0.6666666666666666,0.4666666666666667,0.6,0.5882352941176471,0.20180183819889375,0.5666666666666667,0.7352777777777778
lh_shape_pope_layers_31,random,present,60,0,60,0,28,32,0,0.0,0.4666666666666667,0.26666666666666666,0.0,0.0,0.4666666666666667,
lh_shape_pope_layers_31,random,absent,60,60,0,40,0,0,20,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,
lh_shape_pope_layers_31,random,negative_related_present,40,40,0,27,0,0,13,0.675,0.0,0.3375,1.0,0.0,0.675,
lh_shape_pope_layers_31,random,negative_absent_plain,20,20,0,13,0,0,7,0.65,0.0,0.325,1.0,0.0,0.65,
lh_shape_pope_layers_31,popular,all,120,60,60,43,28,32,17,0.7166666666666667,0.4666666666666667,0.625,0.6056338028169014,0.2543103553272543,0.5916666666666667,0.7169444444444445
lh_shape_pope_layers_31,popular,present,60,0,60,0,28,32,0,0.0,0.4666666666666667,0.26666666666666666,0.0,0.0,0.4666666666666667,
lh_shape_pope_layers_31,popular,absent,60,60,0,43,0,0,17,0.7166666666666667,0.0,0.35833333333333334,1.0,0.0,0.7166666666666667,
lh_shape_pope_layers_31,popular,negative_related_present,40,40,0,30,0,0,10,0.75,0.0,0.375,1.0,0.0,0.75,
lh_shape_pope_layers_31,popular,negative_absent_plain,20,20,0,13,0,0,7,0.65,0.0,0.325,1.0,0.0,0.65,
lh_shape_pope_layers_31,adversarial,all,120,60,60,40,28,32,20,0.6666666666666666,0.4666666666666667,0.6,0.5882352941176471,0.20180183819889375,0.5666666666666667,0.6786111111111112
lh_shape_pope_layers_31,adversarial,present,60,0,60,0,28,32,0,0.0,0.4666666666666667,0.26666666666666666,0.0,0.0,0.4666666666666667,
lh_shape_pope_layers_31,adversarial,absent,60,60,0,40,0,0,20,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,
lh_shape_pope_layers_31,adversarial,negative_related_present,54,54,0,36,0,0,18,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,
lh_shape_pope_layers_31,adversarial,negative_absent_plain,6,6,0,4,0,0,2,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,
lh_shape_pope_layers_31,macro,all,360,180,180,123,84,96,57,0.6833333333333333,0.4666666666666667,0.6083333333333334,0.5942028985507246,0.2191460862171419,0.575,0.7103086419753086
lh_shape_pope_layers_31,macro,present,180,0,180,0,84,96,0,0.0,0.4666666666666667,0.26666666666666666,0.0,0.0,0.4666666666666667,
lh_shape_pope_layers_31,macro,absent,180,180,0,123,0,0,57,0.6833333333333333,0.0,0.3416666666666667,1.0,0.0,0.6833333333333333,
lh_shape_pope_layers_31,macro,negative_related_present,134,134,0,93,0,0,41,0.6940298507462687,0.0,0.34701492537313433,1.0,0.0,0.6940298507462687,
lh_shape_pope_layers_31,macro,negative_absent_plain,46,46,0,30,0,0,16,0.6521739130434783,0.0,0.32608695652173914,1.0,0.0,0.6521739130434783,
lh_shape_pope_layers_22_31,random,all,120,60,60,49,24,36,11,0.8166666666666667,0.4,0.7083333333333333,0.6712328767123288,0.4268051485166853,0.6083333333333333,0.7633333333333333
lh_shape_pope_layers_22_31,random,present,60,0,60,0,24,36,0,0.0,0.4,0.3,0.0,0.0,0.4,
lh_shape_pope_layers_22_31,random,absent,60,60,0,49,0,0,11,0.8166666666666667,0.0,0.4083333333333333,1.0,0.0,0.8166666666666667,
lh_shape_pope_layers_22_31,random,negative_related_present,40,40,0,31,0,0,9,0.775,0.0,0.3875,1.0,0.0,0.775,
lh_shape_pope_layers_22_31,random,negative_absent_plain,20,20,0,18,0,0,2,0.9,0.0,0.45,1.0,0.0,0.9,
lh_shape_pope_layers_22_31,popular,all,120,60,60,49,24,36,11,0.8166666666666667,0.4,0.7083333333333333,0.6712328767123288,0.4268051485166853,0.6083333333333333,0.7422222222222222
lh_shape_pope_layers_22_31,popular,present,60,0,60,0,24,36,0,0.0,0.4,0.3,0.0,0.0,0.4,
lh_shape_pope_layers_22_31,popular,absent,60,60,0,49,0,0,11,0.8166666666666667,0.0,0.4083333333333333,1.0,0.0,0.8166666666666667,
lh_shape_pope_layers_22_31,popular,negative_related_present,40,40,0,35,0,0,5,0.875,0.0,0.4375,1.0,0.0,0.875,
lh_shape_pope_layers_22_31,popular,negative_absent_plain,20,20,0,14,0,0,6,0.7,0.0,0.35,1.0,0.0,0.7,
lh_shape_pope_layers_22_31,adversarial,all,120,60,60,46,24,36,14,0.7666666666666667,0.4,0.6833333333333333,0.6571428571428571,0.3718678720805473,0.5833333333333334,0.7122222222222222
lh_shape_pope_layers_22_31,adversarial,present,60,0,60,0,24,36,0,0.0,0.4,0.3,0.0,0.0,0.4,
lh_shape_pope_layers_22_31,adversarial,absent,60,60,0,46,0,0,14,0.7666666666666667,0.0,0.38333333333333336,1.0,0.0,0.7666666666666667,
lh_shape_pope_layers_22_31,adversarial,negative_related_present,54,54,0,42,0,0,12,0.7777777777777778,0.0,0.3888888888888889,1.0,0.0,0.7777777777777778,
lh_shape_pope_layers_22_31,adversarial,negative_absent_plain,6,6,0,4,0,0,2,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,
lh_shape_pope_layers_22_31,macro,all,360,180,180,144,72,108,36,0.8,0.4,0.7,0.6666666666666666,0.408248290463863,0.6,0.7390740740740741
lh_shape_pope_layers_22_31,macro,present,180,0,180,0,72,108,0,0.0,0.4,0.3,0.0,0.0,0.4,
lh_shape_pope_layers_22_31,macro,absent,180,180,0,144,0,0,36,0.8,0.0,0.4,1.0,0.0,0.8,
lh_shape_pope_layers_22_31,macro,negative_related_present,134,134,0,108,0,0,26,0.8059701492537313,0.0,0.40298507462686567,1.0,0.0,0.8059701492537313,
lh_shape_pope_layers_22_31,macro,negative_absent_plain,46,46,0,36,0,0,10,0.782608695652174,0.0,0.391304347826087,1.0,0.0,0.782608695652174,
prompt_token_pos,random,all,120,60,60,17,20,40,43,0.2833333333333333,0.3333333333333333,0.475,0.4594594594594595,-0.05413539955388112,0.30833333333333335,0.5131944444444444
prompt_token_pos,random,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
prompt_token_pos,random,absent,60,60,0,17,0,0,43,0.2833333333333333,0.0,0.14166666666666666,1.0,0.0,0.2833333333333333,
prompt_token_pos,random,negative_related_present,40,40,0,13,0,0,27,0.325,0.0,0.1625,1.0,0.0,0.325,
prompt_token_pos,random,negative_absent_plain,20,20,0,4,0,0,16,0.2,0.0,0.1,1.0,0.0,0.2,
prompt_token_pos,popular,all,120,60,60,21,20,40,39,0.35,0.3333333333333333,0.5083333333333333,0.5121951219512195,0.01757092099429725,0.3416666666666667,0.47694444444444445
prompt_token_pos,popular,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
prompt_token_pos,popular,absent,60,60,0,21,0,0,39,0.35,0.0,0.175,1.0,0.0,0.35,
prompt_token_pos,popular,negative_related_present,40,40,0,11,0,0,29,0.275,0.0,0.1375,1.0,0.0,0.275,
prompt_token_pos,popular,negative_absent_plain,20,20,0,10,0,0,10,0.5,0.0,0.25,1.0,0.0,0.5,
prompt_token_pos,adversarial,all,120,60,60,15,20,40,45,0.25,0.3333333333333333,0.4583333333333333,0.42857142857142855,-0.09166984970282113,0.2916666666666667,0.5073611111111112
prompt_token_pos,adversarial,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
prompt_token_pos,adversarial,absent,60,60,0,15,0,0,45,0.25,0.0,0.125,1.0,0.0,0.25,
prompt_token_pos,adversarial,negative_related_present,54,54,0,13,0,0,41,0.24074074074074073,0.0,0.12037037037037036,1.0,0.0,0.24074074074074073,
prompt_token_pos,adversarial,negative_absent_plain,6,6,0,2,0,0,4,0.3333333333333333,0.0,0.16666666666666666,1.0,0.0,0.3333333333333333,
prompt_token_pos,macro,all,360,180,180,53,60,120,127,0.29444444444444445,0.3333333333333333,0.4805555555555555,0.4690265486725664,-0.04189964483360775,0.3138888888888889,0.49916666666666665
prompt_token_pos,macro,present,180,0,180,0,60,120,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
prompt_token_pos,macro,absent,180,180,0,53,0,0,127,0.29444444444444445,0.0,0.14722222222222223,1.0,0.0,0.29444444444444445,
prompt_token_pos,macro,negative_related_present,134,134,0,37,0,0,97,0.27611940298507465,0.0,0.13805970149253732,1.0,0.0,0.27611940298507465,
prompt_token_pos,macro,negative_absent_plain,46,46,0,16,0,0,30,0.34782608695652173,0.0,0.17391304347826086,1.0,0.0,0.34782608695652173,
target_span_len,random,all,120,60,60,17,20,40,43,0.2833333333333333,0.3333333333333333,0.475,0.4594594594594595,-0.05413539955388112,0.30833333333333335,0.5131944444444444
target_span_len,random,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_span_len,random,absent,60,60,0,17,0,0,43,0.2833333333333333,0.0,0.14166666666666666,1.0,0.0,0.2833333333333333,
