score,split,subset,samples,absent,present,tp_absent,fp_present,tn_present,fn_absent,absent_tpr,present_fpr,balanced_accuracy,precision_absent,mcc,predicted_absent_rate,auroc
lh_shape_pope_layers_31,random,all,3000,1500,1500,1220,460,1040,280,0.8133333333333334,0.30666666666666664,0.7533333333333334,0.7261904761904762,0.5103545438827408,0.56,0.8298
lh_shape_pope_layers_31,random,present,1500,0,1500,0,460,1040,0,0.0,0.30666666666666664,0.3466666666666667,0.0,0.0,0.30666666666666664,
lh_shape_pope_layers_31,random,absent,1500,1500,0,1220,0,0,280,0.8133333333333334,0.0,0.4066666666666667,1.0,0.0,0.8133333333333334,
lh_shape_pope_layers_31,random,negative_related_present,840,840,0,653,0,0,187,0.7773809523809524,0.0,0.3886904761904762,1.0,0.0,0.7773809523809524,
lh_shape_pope_layers_31,random,negative_absent_plain,660,660,0,567,0,0,93,0.8590909090909091,0.0,0.42954545454545456,1.0,0.0,0.8590909090909091,
lh_shape_pope_layers_31,popular,all,3000,1500,1500,1220,460,1040,280,0.8133333333333334,0.30666666666666664,0.7533333333333334,0.7261904761904762,0.5103545438827408,0.56,0.8254888888888889
lh_shape_pope_layers_31,popular,present,1500,0,1500,0,460,1040,0,0.0,0.30666666666666664,0.3466666666666667,0.0,0.0,0.30666666666666664,
lh_shape_pope_layers_31,popular,absent,1500,1500,0,1220,0,0,280,0.8133333333333334,0.0,0.4066666666666667,1.0,0.0,0.8133333333333334,
lh_shape_pope_layers_31,popular,negative_related_present,980,980,0,779,0,0,201,0.7948979591836735,0.0,0.3974489795918367,1.0,0.0,0.7948979591836735,
lh_shape_pope_layers_31,popular,negative_absent_plain,520,520,0,441,0,0,79,0.8480769230769231,0.0,0.42403846153846153,1.0,0.0,0.8480769230769231,
lh_shape_pope_layers_31,adversarial,all,3000,1500,1500,1123,458,1042,377,0.7486666666666667,0.30533333333333335,0.7216666666666667,0.7103099304237824,0.44398113041030945,0.527,0.7798835555555556
lh_shape_pope_layers_31,adversarial,present,1500,0,1500,0,458,1042,0,0.0,0.30533333333333335,0.3473333333333333,0.0,0.0,0.30533333333333335,
lh_shape_pope_layers_31,adversarial,absent,1500,1500,0,1123,0,0,377,0.7486666666666667,0.0,0.37433333333333335,1.0,0.0,0.7486666666666667,
lh_shape_pope_layers_31,adversarial,negative_related_present,1272,1272,0,944,0,0,328,0.7421383647798742,0.0,0.3710691823899371,1.0,0.0,0.7421383647798742,
lh_shape_pope_layers_31,adversarial,negative_absent_plain,228,228,0,179,0,0,49,0.7850877192982456,0.0,0.3925438596491228,1.0,0.0,0.7850877192982456,
lh_shape_pope_layers_31,macro,all,9000,4500,4500,3563,1378,3122,937,0.7917777777777778,0.30622222222222223,0.7427777777777778,0.7211090872293058,0.4879041236739251,0.549,0.8117193086419753
lh_shape_pope_layers_31,macro,present,4500,0,4500,0,1378,3122,0,0.0,0.30622222222222223,0.3468888888888889,0.0,0.0,0.30622222222222223,
lh_shape_pope_layers_31,macro,absent,4500,4500,0,3563,0,0,937,0.7917777777777778,0.0,0.3958888888888889,1.0,0.0,0.7917777777777778,
lh_shape_pope_layers_31,macro,negative_related_present,3092,3092,0,2376,0,0,716,0.7684346701164295,0.0,0.38421733505821476,1.0,0.0,0.7684346701164295,
lh_shape_pope_layers_31,macro,negative_absent_plain,1408,1408,0,1187,0,0,221,0.8430397727272727,0.0,0.42151988636363635,1.0,0.0,0.8430397727272727,
lh_shape_pope_layers_22_31,random,all,3000,1500,1500,1215,308,1192,285,0.81,0.20533333333333334,0.8023333333333333,0.7977675640183848,0.6047377611291618,0.5076666666666667,0.8810382222222222
lh_shape_pope_layers_22_31,random,present,1500,0,1500,0,308,1192,0,0.0,0.20533333333333334,0.3973333333333333,0.0,0.0,0.20533333333333334,
lh_shape_pope_layers_22_31,random,absent,1500,1500,0,1215,0,0,285,0.81,0.0,0.405,1.0,0.0,0.81,
lh_shape_pope_layers_22_31,random,negative_related_present,840,840,0,657,0,0,183,0.7821428571428571,0.0,0.39107142857142857,1.0,0.0,0.7821428571428571,
lh_shape_pope_layers_22_31,random,negative_absent_plain,660,660,0,558,0,0,102,0.8454545454545455,0.0,0.42272727272727273,1.0,0.0,0.8454545454545455,
lh_shape_pope_layers_22_31,popular,all,3000,1500,1500,1189,308,1192,311,0.7926666666666666,0.20533333333333334,0.7936666666666666,0.7942551770207081,0.587334508003524,0.499,0.864676
lh_shape_pope_layers_22_31,popular,present,1500,0,1500,0,308,1192,0,0.0,0.20533333333333334,0.3973333333333333,0.0,0.0,0.20533333333333334,
lh_shape_pope_layers_22_31,popular,absent,1500,1500,0,1189,0,0,311,0.7926666666666666,0.0,0.3963333333333333,1.0,0.0,0.7926666666666666,
lh_shape_pope_layers_22_31,popular,negative_related_present,980,980,0,755,0,0,225,0.7704081632653061,0.0,0.3852040816326531,1.0,0.0,0.7704081632653061,
lh_shape_pope_layers_22_31,popular,negative_absent_plain,520,520,0,434,0,0,86,0.8346153846153846,0.0,0.4173076923076923,1.0,0.0,0.8346153846153846,
lh_shape_pope_layers_22_31,adversarial,all,3000,1500,1500,1032,307,1193,468,0.688,0.20466666666666666,0.7416666666666667,0.7707244212098581,0.48614172965198865,0.44633333333333336,0.8125066666666667
lh_shape_pope_layers_22_31,adversarial,present,1500,0,1500,0,307,1193,0,0.0,0.20466666666666666,0.39766666666666667,0.0,0.0,0.20466666666666666,
lh_shape_pope_layers_22_31,adversarial,absent,1500,1500,0,1032,0,0,468,0.688,0.0,0.344,1.0,0.0,0.688,
lh_shape_pope_layers_22_31,adversarial,negative_related_present,1272,1272,0,864,0,0,408,0.6792452830188679,0.0,0.33962264150943394,1.0,0.0,0.6792452830188679,
lh_shape_pope_layers_22_31,adversarial,negative_absent_plain,228,228,0,168,0,0,60,0.7368421052631579,0.0,0.3684210526315789,1.0,0.0,0.7368421052631579,
lh_shape_pope_layers_22_31,macro,all,9000,4500,4500,3436,923,3577,1064,0.7635555555555555,0.2051111111111111,0.7792222222222223,0.788254186740078,0.5587187806367018,0.48433333333333334,0.8527298271604938
lh_shape_pope_layers_22_31,macro,present,4500,0,4500,0,923,3577,0,0.0,0.2051111111111111,0.39744444444444443,0.0,0.0,0.2051111111111111,
lh_shape_pope_layers_22_31,macro,absent,4500,4500,0,3436,0,0,1064,0.7635555555555555,0.0,0.38177777777777777,1.0,0.0,0.7635555555555555,
lh_shape_pope_layers_22_31,macro,negative_related_present,3092,3092,0,2276,0,0,816,0.7360931435963778,0.0,0.3680465717981889,1.0,0.0,0.7360931435963778,
lh_shape_pope_layers_22_31,macro,negative_absent_plain,1408,1408,0,1160,0,0,248,0.8238636363636364,0.0,0.4119318181818182,1.0,0.0,0.8238636363636364,
prompt_token_pos,random,all,3000,1500,1500,407,212,1288,1093,0.2713333333333333,0.14133333333333334,0.565,0.6575121163166397,0.16062368646402225,0.20633333333333334,0.6048455555555555
prompt_token_pos,random,present,1500,0,1500,0,212,1288,0,0.0,0.14133333333333334,0.42933333333333334,0.0,0.0,0.14133333333333334,
prompt_token_pos,random,absent,1500,1500,0,407,0,0,1093,0.2713333333333333,0.0,0.13566666666666666,1.0,0.0,0.2713333333333333,
prompt_token_pos,random,negative_related_present,840,840,0,243,0,0,597,0.2892857142857143,0.0,0.14464285714285716,1.0,0.0,0.2892857142857143,
prompt_token_pos,random,negative_absent_plain,660,660,0,164,0,0,496,0.24848484848484848,0.0,0.12424242424242424,1.0,0.0,0.24848484848484848,
