method,score,call_rate,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,precision,recall_tpr,fpr,tnr,f1,balanced_accuracy,mcc,yes_rate
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,all,120,51,11,49,9,0.8333333333333334,0.8225806451612904,0.85,0.18333333333333332,0.8166666666666667,0.8360655737704918,0.8333333333333333,0.66703734596507,0.5166666666666667
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,positive,60,51,0,0,9,0.85,1.0,0.85,0.0,0.0,0.9189189189189189,0.425,0.0,0.85
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,negative,60,0,11,49,0,0.8166666666666667,0.0,0.0,0.18333333333333332,0.8166666666666667,0.0,0.4083333333333333,0.0,0.18333333333333332
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,negative_related_present,54,0,11,43,0,0.7962962962962963,0.0,0.0,0.2037037037037037,0.7962962962962963,0.0,0.39814814814814814,0.0,0.2037037037037037
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,negative_absent_plain,6,0,0,6,0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,all,120,51,5,55,9,0.8833333333333333,0.9107142857142857,0.85,0.08333333333333333,0.9166666666666666,0.8793103448275861,0.8833333333333333,0.7683760704982201,0.4666666666666667
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,positive,60,51,0,0,9,0.85,1.0,0.85,0.0,0.0,0.9189189189189189,0.425,0.0,0.85
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,negative,60,0,5,55,0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.4583333333333333,0.0,0.08333333333333333
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,negative_related_present,40,0,5,35,0,0.875,0.0,0.0,0.125,0.875,0.0,0.4375,0.0,0.125
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,negative_absent_plain,20,0,0,20,0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,random,all,120,51,4,56,9,0.8916666666666667,0.9272727272727272,0.85,0.06666666666666667,0.9333333333333333,0.8869565217391303,0.8916666666666666,0.7860674894066653,0.4583333333333333
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,random,positive,60,51,0,0,9,0.85,1.0,0.85,0.0,0.0,0.9189189189189189,0.425,0.0,0.85
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,random,negative,60,0,4,56,0,0.9333333333333333,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,0.4666666666666667,0.0,0.06666666666666667
