method,score,call_rate,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,precision,recall_tpr,fpr,tnr,f1,balanced_accuracy,mcc,yes_rate
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,all,3000,1218,220,1280,282,0.8326666666666667,0.847009735744089,0.812,0.14666666666666667,0.8533333333333334,0.829135466303608,0.8326666666666667,0.6659024051264104,0.47933333333333333
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,positive,1500,1218,0,0,282,0.812,1.0,0.812,0.0,0.0,0.8962472406181016,0.406,0.0,0.812
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,negative,1500,0,220,1280,0,0.8533333333333334,0.0,0.0,0.14666666666666667,0.8533333333333334,0.0,0.4266666666666667,0.0,0.14666666666666667
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,negative_related_present,1272,0,208,1064,0,0.8364779874213837,0.0,0.0,0.16352201257861634,0.8364779874213837,0.0,0.41823899371069184,0.0,0.16352201257861634
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,adversarial,negative_absent_plain,228,0,12,216,0,0.9473684210526315,0.0,0.0,0.05263157894736842,0.9473684210526315,0.0,0.47368421052631576,0.0,0.05263157894736842
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,all,3000,1220,116,1384,280,0.868,0.9131736526946108,0.8133333333333334,0.07733333333333334,0.9226666666666666,0.8603667136812412,0.868,0.7404388256548138,0.44533333333333336
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,positive,1500,1220,0,0,280,0.8133333333333334,1.0,0.8133333333333334,0.0,0.0,0.8970588235294117,0.4066666666666667,0.0,0.8133333333333334
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,negative,1500,0,116,1384,0,0.9226666666666666,0.0,0.0,0.07733333333333334,0.9226666666666666,0.0,0.4613333333333333,0.0,0.07733333333333334
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,negative_related_present,980,0,98,882,0,0.9,0.0,0.0,0.1,0.9,0.0,0.45,0.0,0.1
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,popular,negative_absent_plain,520,0,18,502,0,0.9653846153846154,0.0,0.0,0.03461538461538462,0.9653846153846154,0.0,0.4826923076923077,0.0,0.03461538461538462
vanilla_base,lh_shape_pope_layers_22_31,0.0,0,1.0,random,all,3000,1220,55,1445,280,0.8883333333333333,0.9568627450980393,0.8133333333333334,0.03666666666666667,0.9633333333333334,0.8792792792792793,0.8883333333333334,0.7855544321322164,0.425
