method,family,source_csv,source_method,macro_mcc,macro_tpr,macro_fpr,macro_yes_rate,macro_related_fpr,macro_plain_fpr,macro_related_minus_plain_fpr,adversarial_mcc,adversarial_related_fpr,adversarial_plain_fpr,adversarial_related_minus_plain_fpr,note
Vanilla,base,mitigation/results/semantic_neighbor_audit/attention_only_subset_eval/semantic_neighbor_subset_metrics.csv,vanilla,0.729673851023138,0.8128888888888889,0.08688888888888889,0.4498888888888889,0.11384217335058215,0.027698863636363636,0.08614330971421852,0.6659024051264104,0.16352201257861634,0.05263157894736842,0.11089043363124793,Base LLaVA answerer.
PAI attention-only,attention intervention,mitigation/results/semantic_neighbor_audit/attention_only_subset_eval/semantic_neighbor_subset_metrics.csv,pai,0.7280184780926523,0.808,0.08422222222222223,0.4461111111111111,0.10996119016817593,0.027698863636363636,0.0822623265318123,0.6648539253319604,0.15880503144654087,0.05263157894736842,0.10617345249917245,Attention-only component under the local greedy runtime.
ClearSight VAF,attention intervention,mitigation/results/semantic_neighbor_audit/attention_only_subset_eval/semantic_neighbor_subset_metrics.csv,clearsight,0.7233857998090273,0.8477777777777777,0.12466666666666666,0.4862222222222222,0.16009055627425614,0.046875,0.11321555627425614,0.6461200686420878,0.22327044025157233,0.08333333333333333,0.13993710691823902,Visual attention focus component.
VisAttnSink,attention intervention,mitigation/results/semantic_neighbor_audit/attention_only_subset_eval/semantic_neighbor_subset_metrics.csv,visattnsink,0.7217602739441391,0.8148888888888889,0.096,0.45544444444444443,0.12257438551099611,0.037642045454545456,0.08493234005645066,0.6562573033042314,0.17295597484276728,0.07456140350877193,0.09839457133399536,Visual attention sink redistribution component.
VCD-greedy,contrastive decoding,mitigation/results/semantic_neighbor_audit/vcd_greedy_subset_eval/semantic_neighbor_subset_metrics.csv,vcd,0.719222065018524,0.8162222222222222,0.09955555555555555,0.4578888888888889,0.12710219922380336,0.0390625,0.08803969922380336,0.6535012321071723,0.17767295597484276,0.07456140350877193,0.10311155246607083,Controlled greedy VCD port.
NoLan-compatible,contrastive decoding,mitigation/results/semantic_neighbor_audit/nolan_full_subset_eval/semantic_neighbor_subset_metrics.csv,nolan,0.7307834492111881,0.7784444444444445,0.057555555555555554,0.418,0.07567917205692108,0.01775568181818182,0.05792349023873926,0.6879763179650026,0.1069182389937107,0.039473684210526314,0.06744455478318438,Deterministic local compatibility port; not official NoLan.
OWLv2 target direct,region evidence,mitigation/results/semantic_neighbor_audit/owlv2_target_score_direct/direct_score_metrics.csv,,0.777442596057054,0.9106666666666666,0.134,0.5223333333333333,0.18369987063389392,0.024857954545454544,0.1588419160884394,0.6729768980078341,0.2806603773584906,0.05263157894736842,0.22802879841112217,Raw target-region evidence calibrated on random split.
OWLv2 margin direct,target-vs-neighbor verifier,mitigation/results/semantic_neighbor_audit/owlv2_margin_direct_cal/direct_score_metrics.csv,,0.4449160027817891,0.3586666666666667,0.012666666666666666,0.18566666666666667,0.009702457956015523,0.019176136363636364,-0.00947367840762084,0.4414289124848049,0.010220125786163521,0.039473684210526314,-0.029253558424362794,Strict target-minus-neighbor margin.
Two-stage direct,target-vs-neighbor verifier,mitigation/results/semantic_neighbor_audit/owlv2_two_stage_direct/two_stage_metrics.csv,,0.7690787299183307,0.85,0.08266666666666667,0.4663333333333333,0.1109314359637775,0.020596590909090908,0.09033484505468659,0.701333956741572,0.16745283018867924,0.043859649122807015,0.12359318106587222,High target evidence or medium target evidence plus margin.
Two-stage gate,target-vs-neighbor verifier,mitigation/results/semantic_neighbor_audit/owlv2_two_stage_gate/two_stage_metrics.csv,,0.7514218383476658,0.7931111111111111,0.050888888888888886,0.422,0.0685640362225097,0.012073863636363636,0.05649017258614607,0.7053737344950908,0.10377358490566038,0.02631578947368421,0.07745779543197617,Two-stage verifier applied as a gate over vanilla yes answers.
Hybrid gate+rescue,target-vs-neighbor verifier,mitigation/results/semantic_neighbor_audit/owlv2_hybrid_region_rule/hybrid_metrics.csv,,0.7628658302177469,0.8064444444444444,0.051333333333333335,0.4288888888888889,0.06921086675291074,0.012073863636363636,0.05713700311654711,0.717024194183559,0.10455974842767296,0.02631578947368421,0.07824395895398875,Asymmetric positive gate with conservative no-answer rescue.
